point,x,y,z
point_637,1588934.5,6803960.0,0.6
point_638,1588934.125,6803957.0,0.6
point_639,1588933.75,6803954.0,0.6
point_640,1588933.25,6803951.5,0.6
point_641,1588932.75,6803948.0,0.6
point_642,1588932.5,6803945.0,0.6
point_643,1588932.0,6803942.0,0.6
point_644,1588931.5,6803939.0,0.6
point_645,1588931.125,6803936.0,0.6
point_646,1588930.75,6803933.0,0.6
point_647,1588930.25,6803929.5,0.6
point_648,1588929.875,6803927.0,0.6
point_649,1588929.5,6803923.5,0.6
point_650,1588929.125,6803921.0,0.6
point_651,1588928.625,6803917.5,0.6
point_652,1588928.25,6803915.0,0.6
point_653,1588927.75,6803911.5,0.6
point_654,1588927.25,6803909.0,0.6
point_655,1588927.0,6803905.5,0.6
point_656,1588926.5,6803903.0,0.6
point_657,1588926.125,6803899.5,0.6
point_658,1588925.625,6803897.0,0.6
point_659,1588925.25,6803893.5,0.6
point_660,1588924.75,6803890.0,0.6
point_661,1588924.25,6803887.5,0.6
point_662,1588924.0,6803884.0,0.6
point_663,1588923.5,6803881.0,0.6
point_664,1588923.125,6803878.0,0.6
point_665,1588922.625,6803875.5,0.6
point_666,1588941.0,6803984.0,0.6
point_667,1588940.5,6803981.0,0.6
point_668,1588940.125,6803978.0,0.6
point_669,1588939.625,6803975.0,0.6
point_670,1588939.25,6803971.5,0.6
point_671,1588938.75,6803969.0,0.6
point_672,1588938.375,6803965.5,0.6
point_673,1588938.0,6803963.0,0.6
point_674,1588937.5,6803959.5,0.6
point_675,1588937.125,6803957.0,0.6
point_676,1588936.75,6803953.5,0.6
point_677,1588936.25,6803951.0,0.6
point_678,1588935.75,6803947.5,0.6
point_679,1588935.5,6803945.0,0.6
point_680,1588935.0,6803941.5,0.6
point_681,1588934.5,6803939.0,0.6
point_682,1588934.125,6803935.5,0.6
point_683,1588933.75,6803933.0,0.6
point_684,1588933.25,6803929.5,0.6
point_685,1588932.75,6803926.0,0.6
point_686,1588932.5,6803923.5,0.6
point_687,1588932.0,6803920.0,0.6
